field_id,crop_code,crop_name,acres,centroid_lat,centroid_lon,state_fips,state_name
F001,1,CORN,87.22774858383657,39.38927741570394,-89.90027539257467,17,Illinois
F002,1,CORN,54.752513578026125,39.93344200745407,-90.47791319074699,17,Illinois
F003,1,CORN,101.83328840854354,39.087607531574456,-88.13922686749359,17,Illinois
F004,1,CORN,108.79025518263126,39.308578984135096,-88.50544743022391,17,Illinois
F005,1,CORN,40.0,40.36609790648491,-88.384503864121,17,Illinois
F006,1,CORN,50.01471682297505,40.489524311815636,-88.1578129069341,17,Illinois
F007,1,CORN,82.03470514648959,40.93501946486842,-89.12325267338498,17,Illinois
F008,1,CORN,70.32922150437093,39.6516507162763,-88.79377641214131,17,Illinois
F009,1,CORN,78.0206287625772,39.740919412069736,-90.08060900561702,17,Illinois
F010,1,CORN,58.40605543433634,39.939111622551614,-90.15640977939208,17,Illinois
F011,1,CORN,106.50122984037134,39.378942718168574,-88.49479111462858,17,Illinois
F012,1,CORN,102.80551555615654,39.25984301067094,-89.08671138157061,17,Illinois
F013,1,CORN,80.2944751514944,39.95140985245187,-88.80429168055643,17,Illinois
F014,1,CORN,116.08701920038573,39.45381869810177,-88.20500342775192,17,Illinois
F015,1,CORN,92.29987303719844,40.33962798936502,-88.59584503999822,17,Illinois
F016,1,CORN,58.28003379439069,39.87430383774466,-88.83926179802602,17,Illinois
F017,1,CORN,89.18844028879477,40.665356392115676,-88.82237851776375,17,Illinois
F018,1,CORN,56.30824120555002,40.4005302040045,-89.58814970581216,17,Illinois
F019,1,CORN,106.46614940819296,39.62473328276408,-90.40754649629618,17,Illinois
F020,1,CORN,77.12960203277937,40.6645196027904,-89.18984783230292,17,Illinois
F021,1,CORN,73.60481903316479,40.6095287149936,-89.8562459815414,17,Illinois
F022,1,CORN,61.98788978146701,39.77495675806035,-89.27441406882609,17,Illinois
F023,1,CORN,120.0,39.57665620786049,-87.9397907801955,17,Illinois
F024,1,CORN,74.38272734463212,40.36499100794995,-89.79818154240398,17,Illinois
F025,1,CORN,67.6513190943133,39.27950496721862,-90.3250917749328,17,Illinois
