field_id,plant_week,harvest_week,plant_week_cont,harvest_week_cont,early_penalty,late_penalty,status,makespan
F001,18,40,18.0,40.0,0.0,0.0,OK,40.0
F002,19,34,19.0,34.0,0.0,0.0,OK,40.0
F003,20,37,20.0,37.0,0.0,0.0,OK,40.0
F004,19,36,19.0,36.0,0.0,0.0,OK,40.0
F005,19,34,19.0,34.0,0.0,0.0,OK,40.0
F006,16,39,16.0,39.0,0.0,0.0,OK,40.0
F007,15,36,15.0,36.0,0.0,0.0,OK,40.0
F008,16,32,16.0,32.0,0.0,0.0,OK,40.0
F009,19,38,19.0,38.0,0.0,0.0,OK,40.0
F010,16,33,16.0,33.0,0.0,0.0,OK,40.0
F011,16,37,16.0,37.0,0.0,0.0,OK,40.0
F012,19,39,19.0,39.0,0.0,0.0,OK,40.0
F013,21,40,21.0,40.0,0.0,0.0,OK,40.0
F014,16,39,16.0,39.0,0.0,0.0,OK,40.0
F015,18,35,18.0,35.0,0.0,0.0,OK,40.0
F016,19,38,19.0,38.0,0.0,0.0,OK,40.0
F017,17,39,17.0,39.0,0.0,0.0,OK,40.0
F018,18,32,18.0,32.0,0.0,0.0,OK,40.0
F019,15,36,15.0,36.0,0.0,0.0,OK,40.0
F020,18,37,18.0,37.0,0.0,0.0,OK,40.0
F021,21,38,21.0,38.0,0.0,0.0,OK,40.0
F022,16,36,16.0,36.0,0.0,0.0,OK,40.0
F023,18,31,18.0,31.0,1.0,0.0,EARLY,40.0
F024,18,37,18.0,37.0,0.0,0.0,OK,40.0
F025,19,33,19.0,33.0,0.0,0.0,OK,40.0
